BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,question,answer
0,0,2006,1,17,1275,SAGAR,99,RABI,HORTICULTURE,MADHYA PRADESH,how to control flower drop in bottelgourd,spray planofix4mlpump
0,0,2006,1,17,964,SAGAR,Disease Management,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how tyo control diseases in buffalo,
0,0,2006,1,17,1279,SAGAR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control fruit borer in brinjal,should be spray profenophos 35mlpump
0,0,2006,1,17,1064,SAGAR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control of yellow moisac in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,1279,DAMOH,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control white fly in brinjal,should be spray metasystox 35mlpump
0,0,2006,1,17,Wheat,DAMOH,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control termite in wheat,use chlorpyrephos1lithactwith the help of irrigation
0,0,2006,1,17,Chillies,JABALPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control chilli thrips,sprey cypermethrin15 mlpump
0,0,2006,1,17,964,JABALPUR,Dairy Production,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how to increase milk in buffalo,use gylox 20 gm twice a day
0,0,2006,1,17,1275,JABALPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control sucking pest in bottle gourd,shhould be spray metasystox 35mlpump
0,0,2006,8,6,Soybean bhat,JABALPUR,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the semilooper in the soybean ,apply the qunalphos  300 ml per acre 
0,0,2006,1,17,2108,MANDLA,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in tomato,should be spray mancozeb 35mlpump
0,0,2006,1,17,Sunnhemp Patua,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the pest in sugarcane ,spray of the quinalfos  10  granule 10-15 kgha
0,0,2006,1,17,Sunflower suryamukhi,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Bihar hairy caterpillar ,Chlorpyriphos 20 EC  15 lithaOR Trizophos 40 EC  08 LithaOR Quinolphos 25 Ec  15 lithaOR Methomyl 40 SP  100ghaOR Ethion 50 EC 15 litha OR Ethofenprox 10 EC  1 litha
0,0,2006,1,17,1818,MANDLA,3,RABI,AGRICULTURE,MADHYA PRADESH,what are control of cow pea mosaic ,spray trizophose  30 ml pump
0,0,2006,1,17,Saffron,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Tobacco caterpillar ,Deltarnathrin 28 EC  750 mlhaor Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
0,0,2006,1,17,Coriander,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the insect in coriander ,Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
0,0,2006,1,17,Cabbage,MANDLA,78,,HORTICULTURE,MADHYA PRADESH,what is the important varieties of the cabbage for the madhya pradesh ,pusa mukta pride of india ganga kaveri and yamuna are the important varieties of the cabbage for the madhya pradesh
0,0,2006,8,6,Soybean bhat,MANDLA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the semilooper in the soybean ,apply the qunalphose  300 ml per acre 
0,0,2006,1,17,1064,HOSHANGABAD,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control yellow moisac in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,1279,HOSHANGABAD,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control white fly in brinjal,should be spray metasystox 35mlpump
0,0,2006,1,17,1279,HOSHANGABAD,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control shoot and fruit borer in brinjal,should be spray cyper methrin 30-35mlpump
0,0,2006,1,17,1064,HOSHANGABAD,3,RABI,AGRICULTURE,MADHYA PRADESH,how to contro yellow moisac in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,1275,HOSHANGABAD,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control powdery mildew in bottle gourd,should be spray wetable sulfar 16mlpump
0,0,2006,1,17,Others,HOSHANGABAD,22,RABI,AGRICULTURE,MADHYA PRADESH,how to control weed in field,should be spray glyphoset 15litreha
0,0,2006,1,17,1289,NARSIMPUR,75,JAYAD,HORTICULTURE,MADHYA PRADESH,what are control of cauliflower yellow leaf ,spray trizophose  40 ml pump
0,0,2006,1,17,1275,NARSIMPUR,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control powdery mildew in bottle gourd,should be spray  wetable sulphar 16mlpump
0,0,2006,1,17,1279,NARSIMPUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control sucking pest in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,Indian rapeseed and mustard yellow sarson,NARSIMPUR,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Termites ,Application of Chlorpyriphos or Carbofuran granules into the soil before sowing Or Seed treatment with chlorpyriphos  4mlkg of seed or Endosulfan  7mlkg of seed Spray insecticides like polytrin C44EC at the rate of 1000 mlha
0,0,2006,1,17,Aonla,EAST NIMAR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to copntrol caterpillar in aonla,applied endosulfan drop by injection in plant
0,0,2006,1,17,1064,EAST NIMAR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to controlsucking pest in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,Cotton Kapas,EAST NIMAR,2,JAYAD,AGRICULTURE,MADHYA PRADESH,how to contol of altenariya leasf spot in cotton,
0,0,2006,1,17,Cotton Kapas,EAST NIMAR,2,JAYAD,AGRICULTURE,MADHYA PRADESH,how to contol of altenariya leasf spot in cotton,should be appply spray mancozeb 35mlpump
0,0,2006,1,17,1137,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control stem borer in paddy,should be spray chloropyriphos 15kgha with irrigation water
0,0,2006,1,17,1137,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control yellow stem borer in paddy,applied dust chloropyriphos 15kgha wuith irrigation water
0,0,2006,1,17,Groundnut pea nutmung phalli,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control aphids in groundnut,should be spray metasystox 35mlpump
0,0,2006,1,17,1324,BALAGHAT,102,RABI,HORTICULTURE,MADHYA PRADESH,how to control flower drop in papaya,should be spray planofix 3-5mlpump
0,0,2006,1,17,964,BALAGHAT,38,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how to control diesase in buffalo,contect at nearest animal jospital
0,0,2006,1,17,2108,BETUL,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control leaf curl in tomato,should be spray imidacloprid 35mlpump
0,0,2006,1,17,Soybean bhat,CHHINDWARA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,whast is the ontrol of the tobbacco catter pillar in the soybean ,apply the trizophos  250 ml per acre 
0,0,2006,1,17,1268,SEONI,75,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of fruit dropping in mango,Apply to you spray of planofix 5 mlpump
0,0,2006,1,17,1282,BHIND,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control yellowvein mosaic of bhindi,sprey metasistox15mlpump
0,0,2006,1,17,1064,GWALIOR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control sucking pest in moong,should be spray metasystox 35mlpump
0,0,2006,1,17,1075,SHIVPURI,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control of shoot borer in maize,spray dltamethrin 35mlpump
0,0,2006,1,17,Wheat,SHIVPURI,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control termite in wheat field,use chlorpyrephos1lithactwhit the help of irrigation water
0,0,2006,1,17,Soybean bhat,GUNA,26,JAYAD,AGRICULTURE,MADHYA PRADESH,flowr inducer  sptay in soyabean ,spray vipul   15 ml pump
0,0,2006,1,17,Green Gram Moong Bean Moong,VIDISHA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control of  green gram   mosaic ,spray   imidacloprid  5 ml pump
0,0,2006,1,17,Green Gram Moong Bean Moong,VIDISHA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control of  green gram   mosaic ,
0,0,2006,1,17,Wheat,MORENA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Gram Pod Borer ,Spray insecticides like polytrin C 44 EC  1000 mlhaOR Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
0,0,2006,1,17,Potato,MORENA,5,,AGRICULTURE,MADHYA PRADESH,what is the important varieties of the potato for the madhya pradesh ,kufari kisan and kufari chandan are the important varieties of the potato for the madhya pradesh
0,0,2006,1,17,Garlic,MORENA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the borer ,Dusting with endosulfan 4 or Fanvalerate 04 or Quinolphos 15 25 to 30 kgha Spray with endosulfan 35 EC  1200 mlha or Quinolphos 25 EC  10 litha In case of severe infestation apply Profenophos  Cypermethrin 44 EC  1litha
0,0,2006,1,17,Cabbage,MORENA,76,,HORTICULTURE,MADHYA PRADESH,what is the control of the Semilooper ,Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
0,0,2006,1,17,1275,SHAJAPUR,99,RABI,HORTICULTURE,MADHYA PRADESH,how to control flower drop in bottle gourd,should be spray planofix 7mlpump
0,0,2006,1,17,Soybean bhat,RATLAM,3,,AGRICULTURE,MADHYA PRADESH,what is the contol of green cattr pillar in the soybean ,
0,0,2006,1,17,1064,RATLAM,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control yellow moisac in moong,spraying for dimethod 750-1000mlha
0,0,2006,1,17,2114,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control pumkin beetle in cucumber,should be spray profenophos 35mlpump
0,0,2006,1,17,1280,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control thrips in chilli,should be spray dimethod 35mlpump
0,0,2006,1,17,Cotton Kapas,MANDSAUR,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what are control of cotton white fly ,spray imidacloprid  5 ml pump
0,0,2006,1,17,1279,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control white fly in brinjal,should be spray metasystox 35mlpump
0,0,2006,1,17,2113,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
0,0,2006,1,17,2108,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control leaf curl in tomato,should be spray metasystox 35mlpoump
0,0,2006,1,17,Coriander,MANDSAUR,5,,AGRICULTURE,MADHYA PRADESH,what is the important varieties of the coriander for the madhya pradesh ,gujrat dhaniya one and gujrat dhaniya two are the good varieties of the dhaniya for the madhya pradesh
0,0,2006,1,17,1818,MANDSAUR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control sucking pest in cowpea,should be spray dimethod 35mlpump
0,0,2006,1,17,2113,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control fruit borer in bitter gourd,should be spray profenophos 35mlpump
0,0,2006,1,17,Onion,DEWAS,78,RABI,HORTICULTURE,MADHYA PRADESH,variety of onion,pusa rednasik red
0,0,2006,1,17,Cotton Kapas,DEWAS,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control aphid jassid and thrips in cotton,
0,0,2006,1,17,Cotton Kapas,DEWAS,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control aphidjassid and thrips in cotton,apply to you spray of immidachloroprid 15 mlpump of crop for control its
0,0,2006,1,17,1075,DEWAS,5,RABI,AGRICULTURE,MADHYA PRADESH,what are varieties of maize,sown on varieties ganga-5 deccan-101naveen and jyoti etc
0,0,2006,1,17,1268,DEWAS,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control hopper in mango,should be spray dimethod 35mlpump
0,0,2006,1,17,Coriander,INDORE,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control aphids in coriander,should be spray metasystox 35mlpump
0,0,2006,1,17,Cotton Kapas,INDORE,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what are control of cotton aphids ,spray imiacloprid  5 ml pump
0,0,2006,1,17,BovineCowBuffalo,INDORE,Dairy Production,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,How to increase milk production of cow,you can give gylox powder 100 gram in a day for increase milk production of cow
0,0,2006,1,17,1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,
0,0,2006,1,17,1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,
0,0,2006,1,17,1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
0,0,2006,1,17,1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,
0,0,2006,1,17,1576,INDORE,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what are control  of sorghum stem borer ,spray trizophose  40 ml pump
0,0,2006,1,17,Chillies,WEST NIMAR,99,JAYAD,HORTICULTURE,MADHYA PRADESH,chilli  flower dropping  control  ,spray planofix  15 ml pump
0,0,2006,1,17,Chillies,DHAR,76,JAYAD,HORTICULTURE,MADHYA PRADESH,CONTROL CHILLI LEAF CURLING ,
0,0,2006,1,17,Chillies,DHAR,76,JAYAD,HORTICULTURE,MADHYA PRADESH,CONTROL CHILLI LEAF CURLING ,SPRAY ACETAMIPRID  5 ML PUMP
0,0,2006,1,17,Others,DHAR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to brackout wheat stra in field,you drive to herro i field
0,0,2006,1,17,1282,JHABUA,75,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of yellow mosaic in bhindi,Apply to you spray monocrotophos 30 mlpump
0,0,2006,1,17,1279,REWA,76,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control of fruit borer in brinjal,spay for profenophos 35mlpump
0,0,2006,1,17,1296,REWA,74,JAYAD,HORTICULTURE,MADHYA PRADESH,potato  seed sowing ,sow in oct- nov 
0,0,2006,1,17,2108,REWA,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in tomato,should be spray metasystox 35mlpump
0,0,2006,1,17,1279,REWA,99,RABI,HORTICULTURE,MADHYA PRADESH,how to control flower drop in brinjal,sprey planofix4mlpump
0,0,2006,1,17,Black Gram urd bean,SATNA,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control sucking pest in urd,should be spray deltamethrin 25mlpump
0,0,2006,1,17,1282,SHAHDOL,76,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of fruit and  shoot bore in bhindi ,you can carbyrl dust 20-25 kg in a hactare for control its
0,0,2006,1,17,Oil palm,DATIA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is til  white fly control   ,spray  acetamiprid  5 ml pump
0,0,2006,1,17,1996,DATIA,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,apply to you spray of planofix 5 mlpump for control its
0,0,2006,1,17,Others,CHHATARPUR,102,RABI,HORTICULTURE,MADHYA PRADESH,what is sowing time of bishops weed,octumber to november are suitable time of bishops weed
0,0,2006,1,17,1808,PANNA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Soybean Aphid ,Spray 001 endosulphan 35 EC or 005 quinalphos 25 EC or 001 malathionOR Spray monocrotophos 36 SC oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
0,0,2006,1,17,Soybean bhat,SEHORE,2,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control of naerosis in soybean,should be apply spray mancozeb mlpump
0,0,2006,1,21,1279,SEHORE,76,JAYAD,HORTICULTURE,MADHYA PRADESH,what is give you information fuit borer controller of binjal ,tryzophos-30mlpump spray crop in brinjal
0,0,2006,1,17,1279,RAISEN,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in brinjal,applied vavistin 15kgha with irrigation water
0,0,2006,1,17,1279,RAISEN,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in brinjal,
0,0,2006,1,17,Potato,KATNI,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Gram cutworm ,Deltamethrin 28 EC  750 mlhaOR Quinalphos 25 EC  1000 mlhaORIn case of severe infestation Spray insecticides like polytrin C-44 EC  1000 mlha
0,0,2006,1,17,Onion,KATNI,75,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of purple blotches in onion,you can spray of mencozeb 20-25 mlpump of crop for control its
0,0,2006,1,17,Wheat,KATNI,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Bihar hairy caterpillar Spilosoma obliqua ,Trizophos 40 EC  08 LithaOR Quinolphos 25 Ec  15 lithaOR Methomyl 40 SP  100ghaOR Ethion 50 EC 15 litha
0,0,2006,1,17,Soybean bhat,KATNI,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Tobacco caterpillar Spodoptera litura ,Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
0,0,2006,1,17,Onion,UMARIA,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control leaf curl in onion,spraying for dimethod 35mlpump
0,0,2006,1,17,Onion,UMARIA,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control leaf curl in onion,
0,0,2006,1,17,1279,NEEMUCH,76,,HORTICULTURE,MADHYA PRADESH,what is the control of the fruit borer ,Spray insecticides like polytrin C 44 EC  1000 mlhaOR Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
0,0,2006,1,17,1064,NEEMUCH,5,,AGRICULTURE,MADHYA PRADESH,what is the important varieties of the moong for the madhya pradesh ,pant moong one and pant moong two are the good varieties of the moong for the madhya pradesh
0,0,2006,1,17,964,NEEMUCH,Dairy Production,JAYAD,ANIMAL HUSBANDRY,MADHYA PRADESH,how to increase milk production of buffalo,you can give gylox powder 100 gram in a day for increase milk production of buffalo
0,0,2006,1,17,1976,NEEMUCH,61,JAYAD,FISHERIES,MADHYA PRADESH,provide me fishries farming information,
0,0,2006,1,17,1976,NEEMUCH,61,JAYAD,FISHERIES,MADHYA PRADESH,provide me fishries farming information,0755-2552082 fishries department bhopal for more detail information
0,0,2006,1,17,964,NEEMUCH,Dairy Production,JAYAD,ANIMAL HUSBANDRY,MADHYA PRADESH,how to increase milk production of buffalo,
0,0,2006,1,17,1808,NEEMUCH,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Thrips ,Spray monocrotophos 36 SC oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
0,0,2006,1,17,Coriander,NEEMUCH,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the White fly ,Spray 001 endosulphan 35 EC or 005 quinalphos 25 EC or 001 malathionOR Spray monocrotophos 36 SL oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
0,0,2006,1,21,Green Gram Moong Bean Moong,NEEMUCH,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is give you infomation aphid controller of green gram,immidacloprid-15mlpump spray crop in green gram
0,0,2006,1,21,Cotton Kapas,NEEMUCH,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is give you information catter pillar controller of cotton,melathion-30mlpump spray crop in cotton
0,0,2006,1,21,1275,NEEMUCH,76,JAYAD,HORTICULTURE,MADHYA PRADESH,what is give you information damping off controller of bottole gourd,dithane m-4520gpump spray cop in bottole gourd
0,0,2007,1,5,1279,PATNA,76,KHARIF,HORTICULTURE,BIHAR,FRUIT BORER OF BRINJAL,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
0,0,2007,1,20,1818,SIWAN,Cultural Practices,RABI,AGRICULTURE,BIHAR,Askijng about cultivation of cowpea,Answer given detail to farmer 
BOKHRA,0,2007,6,2,2763,SITAMARHI,5,JAYAD,AGRICULTURE,BIHAR,VARITIES OF SCENTED RICE,PUSA BASMATISUGANDHAKAMINI
