question,answer
how to control flower drop in bottelgourd,spray planofix4mlpump
how tyo control diseases in buffalo,
how to control fruit borer in brinjal,should be spray profenophos 35mlpump
how to control of yellow moisac in moong,should be spray metasystox 35mlpump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control termite in wheat,use chlorpyrephos1lithactwith the help of irrigation
how to control chilli thrips,sprey cypermethrin15 mlpump
how to increase milk in buffalo,use gylox 20 gm twice a day
how to control sucking pest in bottle gourd,shhould be spray metasystox 35mlpump
what is the control of the semilooper in the soybean,apply the qunalphos 300 ml per acre
how to control becterial blight in tomato,should be spray mancozeb 35mlpump
what is the control of the pest in sugarcane,spray of the quinalfos 10 granule 1015 kgha
what is the control of the bihar hairy caterpillar,chlorpyriphos 20 ec 15 lithaor trizophos 40 ec 08 lithaor quinolphos 25 ec 15 lithaor methomyl 40 sp 100ghaor ethion 50 ec 15 litha or ethofenprox 10 ec 1 litha
what are control of cow pea mosaic,spray trizophose 30 ml pump
what is the control of the tobacco caterpillar,deltarnathrin 28 ec 750 mlhaor quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded
what is the control of the insect in coriander,quinolphos 25 ec 1000mlhaor ethofenprox 10 ec 1000mlha in case of severe infestation apply polytrin 44 1 litha or profenophos 50 ec 200 litha always use hollow cone noozle for spraying dust endosulfan 4 or quinalphos 15 25kgha when their population is likely to reach 10m row length etl repeat it as eeded
what is the important varieties of the cabbage for the madhya pradesh,pusa mukta pride of india ganga kaveri and yamuna are the important varieties of the cabbage for the madhya pradesh
what is the control of the semilooper in the soybean,apply the qunalphose 300 ml per acre
how to control yellow moisac in moong,should be spray metasystox 35mlpump
how to control white fly in brinjal,should be spray metasystox 35mlpump
how to control shoot and fruit borer in brinjal,should be spray cyper methrin 3035mlpump
how to contro yellow moisac in moong,should be spray metasystox 35mlpump
how to control powdery mildew in bottle gourd,should be spray wetable sulfar 16mlpump
how to control weed in field,should be spray glyphoset 15litreha
what are control of cauliflower yellow leaf,spray trizophose 40 ml pump
how to control powdery mildew in bottle gourd,should be spray wetable sulphar 16mlpump
how to control sucking pest in moong,should be spray metasystox 35mlpump
what is the control of the termites,application of chlorpyriphos or carbofuran granules into the soil before sowing or seed treatment with chlorpyriphos 4mlkg of seed or endosulfan 7mlkg of seed spray insecticides like polytrin c44ec at the rate of 1000 mlha
how to copntrol caterpillar in aonla,applied endosulfan drop by injection in plant
how to controlsucking pest in moong,should be spray metasystox 35mlpump
how to contol of altenariya leasf spot in cotton,
how to contol of altenariya leasf spot in cotton,should be appply spray mancozeb 35mlpump
how to control stem borer in paddy,should be spray chloropyriphos 15kgha with irrigation water
how to control yellow stem borer in paddy,applied dust chloropyriphos 15kgha wuith irrigation water
how to control aphids in groundnut,should be spray metasystox 35mlpump
how to control flower drop in papaya,should be spray planofix 35mlpump
how to control diesase in buffalo,contect at nearest animal jospital
how to control leaf curl in tomato,should be spray imidacloprid 35mlpump
whast is the ontrol of the tobbacco catter pillar in the soybean,apply the trizophos 250 ml per acre
what is the control of fruit dropping in mango,apply to you spray of planofix 5 mlpump
how to control yellowvein mosaic of bhindi,sprey metasistox15mlpump
how to control sucking pest in moong,should be spray metasystox 35mlpump
how to control of shoot borer in maize,spray dltamethrin 35mlpump
how to control termite in wheat field,use chlorpyrephos1lithactwhit the help of irrigation water
flowr inducer sptay in soyabean,spray vipul 15 ml pump
how to control of green gram mosaic,spray imidacloprid 5 ml pump
how to control of green gram mosaic,
what is the control of the gram pod borer,spray insecticides like polytrin c 44 ec 1000 mlhaor profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha
what is the important varieties of the potato for the madhya pradesh,kufari kisan and kufari chandan are the important varieties of the potato for the madhya pradesh
what is the control of the borer,dusting with endosulfan 4 or fanvalerate 04 or quinolphos 15 25 to 30 kgha spray with endosulfan 35 ec 1200 mlha or quinolphos 25 ec 10 litha in case of severe infestation apply profenophos cypermethrin 44 ec 1litha
what is the control of the semilooper,profenophos 50 ec 1500 mlhaor spark 36 ec at the rate of 1000 mlhaor chlorpyriphos 20 ec 200 ml acephate 100 mlha
how to control flower drop in bottle gourd,should be spray planofix 7mlpump
